experiment_name,experiment_variant,users,sessions,sessions_with_cart,sessions_with_purchase,purchasers,purchase_events,total_revenue,user_conversion_rate,session_cart_rate,session_purchase_rate,revenue_per_user,revenue_per_session,avg_purchase_value,avg_session_duration_minutes,avg_events_per_session,user_conversion_lift_pct,revenue_per_user_lift_pct,revenue_per_session_lift_pct,avg_purchase_value_lift_pct,session_cart_rate_lift_pct,session_purchase_rate_lift_pct,experiment_result_status
search_ranking_experiment_v1,control,1512354,4635433.0,288224.0,316584.0,174181,374287.0,116385097.52,11.52,6.22,6.83,76.96,25.11,310.95,24.15,3.81,0.0,0.0,0.0,0.0,0.0,0.0,baseline
search_ranking_experiment_v1,treatment,1509936,4608988.0,284873.0,312976.0,172937,368562.0,113572404.75,11.45,6.18,6.79,75.22,24.64,308.15,22.75,3.81,-0.61,-2.26,-1.87,-0.9,-0.64,-0.59,negative_lift
